Name,Symbol
Advanced Emissions Solutions Inc. Common Stock,ADES
Adit EdTech Acquisition Corp. Common Stock,ADEX
Adagio Therapeutics Inc. Common Stock,ADGI
Analog Devices Inc. Common Stock,ADI
Adial Pharmaceuticals Inc Common Stock,ADIL
Adial Pharmaceuticals Inc Warrant,ADILW
Archer-Daniels-Midland Company Common Stock,ADM
ADMA Biologics Inc Common Stock,ADMA
Adamis Pharmaceuticals Corporation Common Stock,ADMP
Advent Technologies Holdings Inc. Class A Common Stock,ADN
Adient plc Ordinary Shares ,ADNT
Advent Technologies Holdings Inc. Warrant,ADNWW
Edoc Acquisition Corp. Class A Ordinary Share,ADOC
Edoc Acquisition Corp. Right,ADOCR
Edoc Acquisition Corp. Warrant,ADOCW
Automatic Data Processing Inc. Common Stock,ADP
Adaptive Biotechnologies Corporation Common Stock,ADPT
Adara Acquisition Corp. Class A Common Stock,ADRA
Alliance Data Systems Corporation Common Stock,ADS
ADS-TEC ENERGY PLC Ordinary Shares,ADSE
ADS-TEC ENERGY PLC Warrant,ADSEW
Autodesk Inc. Common Stock,ADSK
ADT Inc. Common Stock,ADT
AdTheorent Holding Company Inc. Common Stock,ADTH
AdTheorent Holding Company Inc. Warrants,ADTHW
ADTRAN Inc. Common Stock,ADTN
Aditxt Inc. Common Stock,ADTX
Addus HomeCare Corporation Common Stock,ADUS
Advantage Solutions Inc. Class A Common Stock,ADV
Adverum Biotechnologies Inc. Common Stock,ADVM
Advantage Solutions Inc. Warrant,ADVWW
Adams Diversified Equity Fund Inc.,ADX
Addex Therapeutics Ltd American Depositary Shares,ADXN
Adams Resources & Energy Inc. Common Stock,AE
Authentic Equity Acquisition Corp. Class A ordinary share,AEAC
Authentic Equity Acquisition Corp. Unit,AEACU
Authentic Equity Acquisition Corp. Warrant,AEACW
AltEnergy Acquisition Corp. Class A Common Stock,AEAE
AltEnergy Acquisition Corp. Unit,AEAEU
AltEnergy Acquisition Corp. Warrant,AEAEW
Ameren Corporation Common Stock,AEE
Aberdeen Emerging Markets Equity Income Fund Inc. Common Stock,AEF
Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,AEFC
AEGON N.V. Common Stock,AEG
Aesther Healthcare Acquisition Corp Class A Common Stock,AEHA
Antelope Enterprise Holdings Limited Common Stock (0.024 par),AEHL
Aehr Test Systems Common Stock,AEHR
Alset EHome International Inc. Common Stock,AEI
Advanced Energy Industries Inc. Common Stock,AEIS
American Equity Investment Life Holding Company Common Stock,AEL
American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 5.95% Fixed-Rate Reset Non-Cumulative Preferred Stock Series A,AEL^A
American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 6.625% Fixed-Rate Reset Non-Cumulative Preferred Stock Series B,AEL^B
Agnico Eagle Mines Limited Common Stock,AEM
Aethlon Medical Inc. Common Stock,AEMD
Aenza S.A.A. American Depositary Shares,AENZ
American Eagle Outfitters Inc. Common Stock,AEO
American Electric Power Company Inc. Common Stock,AEP
American Electric Power Company Inc. Corporate Unit,AEPPL
American Electric Power Company Inc. Corporate Units,AEPPZ
AerCap Holdings N.V. Ordinary Shares,AER
AeroClean Technologies Inc. Common Stock,AERC
Aerie Pharmaceuticals Inc. Common Stock,AERI
The AES Corporation Common Stock,AES
The AES Corporation Corporate Units,AESC
Allied Esports Entertainment Inc. Common Stock,AESE
Aeva Technologies Inc. Common Stock,AEVA
ADDvantage Technologies Group Inc. Common Stock,AEY
AudioEye Inc. Common Stock,AEYE
Aeterna Zentaris Inc. Common Stock,AEZS
Arena Fortify Acquisition Corp. Unit,AFACU
AF Acquisition Corp. Class A Common Stock,AFAQ
AllianceBernstein National Municipal Income Fund Inc,AFB
Affinity Bancshares Inc. Common Stock (MD),AFBI
AFC Gamma Inc. Common Stock,AFCG
American Financial Group Inc. Common Stock,AFG
American Financial Group Inc. 5.875% Subordinated Debentures due 2059,AFGB
American Financial Group Inc. 5.125% Subordinated Debentures due 2059,AFGC
American Financial Group Inc. 5.625% Subordinated Debentures due 2060,AFGD
American Financial Group Inc. 4.500% Subordinated Debentures due 2060,AFGE
Armstrong Flooring Inc. Common Stock,AFI
Acutus Medical Inc. Common Stock,AFIB
American Finance Trust Inc. Class A Common Stock,AFIN
American Finance Trust Inc. 7.375% Series C Cumulative Redeemable Preferred Stock,AFINO
American Finance Trust Inc. 7.50% Series A Cumulative Redeemable Perpetual Preferred Stock,AFINP
AFLAC Incorporated Common Stock,AFL
Affimed N.V.,AFMD
Affirm Holdings Inc. Class A Common Stock,AFRM
Apollo Senior Floating Rate Fund Inc. Common Stock,AFT
AfterNext HealthTech Acquisition Corp. Class A Ordinary Shares,AFTR
Afya Limited Class A Common Shares,AFYA
First Majestic Silver Corp. Ordinary Shares (Canada),AG
African Gold Acquisition Corporation Class A Ordinary Shares,AGAC
AGBA Acquisition Limited Ordinary Share,AGBA
AGBA Acquisition Limited Right,AGBAR
AGBA Acquisition Limited Unit,AGBAU
AGBA Acquisition Limited Warrant,AGBAW
Altimeter Growth Corp. 2 Class A Ordinary Shares,AGCB
AGCO Corporation Common Stock,AGCO
Aberdeen Global Dynamic Dividend Fund,AGD
AgeX Therapeutics Inc. Common Stock,AGE
Agenus Inc. Common Stock,AGEN
AgroFresh Solutions Inc. Common Stock,AGFS
Agrify Corporation Common Stock,AGFY
Agile Growth Corp. Class A Ordinary Share,AGGR
Agile Growth Corp. Warrant.,AGGRW
Alamos Gold Inc. Class A Common Shares,AGI
AgileThought Inc. Class A Common Stock,AGIL
AgileThought Inc. Warrant,AGILW
Agios Pharmaceuticals Inc. Common Stock,AGIO
agilon health inc. Common Stock,AGL
Aeglea BioTherapeutics Inc. Common Stock,AGLE
Federal Agricultural Mortgage Corporation Common Stock,AGM
Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg,AGM^C
Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock Series D,AGM^D
Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock Series E,AGM^E
Federal Agricultural Mortgage Corporation 5.250% Non-Cumulative Preferred Stock Series F,AGM^F
Federal Agricultural Mortgage Corporation 4.875% Non-Cumulative Preferred Stock Series G,AGM^G
AGM Group Holdings Inc. Class A Ordinary Shares,AGMH
AGNC Investment Corp. Common Stock,AGNC
AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,AGNCM
AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,AGNCN
AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,AGNCO
AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,AGNCP
Assured Guaranty Ltd. Common Stock,AGO
Avangrid Inc. Common Stock,AGR
AgriFORCE  Growing Systems Ltd. Common Shares,AGRI
AgriFORCE  Growing Systems Ltd. Warrant,AGRIW
Adecoagro S.A. Common Shares,AGRO
Agile Therapeutics Inc. Common Stock,AGRX
PlayAGS Inc. Common Stock,AGS
Applied Genetic Technologies Corporation Common Stock,AGTC
Agiliti Inc. Common Stock,AGTI
Argan Inc. Common Stock,AGX
Agilysys Inc. Common Stock,AGYS
AdaptHealth Corp. Common Stock,AHCO
Akso Health Group ADS,AHG
Armada Hoffler Properties Inc. Common Stock,AHH
Armada Hoffler Properties Inc. 6.75% Series A Cumulative Redeemable Perpetual Preferred Stock,AHH^A
Advanced Human Imaging Limited. American Depositary Shares,AHI
Aspen Insurance Holdings Limited 5.95% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Shares,AHL^C
Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares,AHL^D
Aspen Insurance Holdings Limited Depositary Shares each representing a 1/1000th interest in a share of 5.625% Perpetual Non-Cumulative Preference Shares,AHL^E
Avista Public Acquisition Corp. II Class A Ordinary Shares,AHPA
Avista Public Acquisition Corp. II Unit,AHPAU
Avista Public Acquisition Corp. II Warrant,AHPAW
Allied Healthcare Products Inc. Common Stock,AHPI
Ahren Acquisition Corp. Unit,AHRNU
Ashford Hospitality Trust Inc Common Stock,AHT
Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock,AHT^D
Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock,AHT^F
Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock,AHT^G
Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock,AHT^H
Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock,AHT^I
C3.ai Inc. Class A Common Stock,AI
Arlington Asset Investment Corp 6.750% Notes due 2025,AIC
Apollo Tactical Income Fund Inc. Common Stock,AIF
American International Group Inc. New Common Stock,AIG
American International Group Inc. Depositary Shares Each Representing a 1/1000th Interest in a Share of Series A 5.85% Non-Cumulative Perpetual Preferred Stock,AIG^A
Aesthetic Medical International Holdings Group Ltd. American Depositary Shares,AIH
Senmiao Technology Limited Common Stock,AIHS
AIkido Pharma Inc. Common Stock,AIKI
AIM ImmunoTech Inc. Common Stock,AIM
Altra Industrial Motion Corp. Common Stock,AIMC
Albany International Corporation Common Stock,AIN
Ashford Inc. (Holding Company) Common Stock,AINC
Apollo Investment Corporation Common Stock,AINV
Virtus AllianzGI Artificial Intelligence & Technology Opportunities Fund Common Shares,AIO
Arteris Inc. Common Stock,AIP
AAR Corp. Common Stock,AIR
Apartment Income REIT Corp. Common Stock,AIRC
Airgain Inc. Common Stock,AIRG
Air Industries Group Common Stock,AIRI
AirSculpt Technologies Inc. Common Stock,AIRS
Air T Inc. Common Stock,AIRT
Air T Inc. Air T Funding Alpha Income Trust Preferred Securities,AIRTP
Applied Industrial Technologies Inc. Common Stock,AIT
Apartment Investment and Management Company Common Stock,AIV
Assurant Inc. Common Stock,AIZ
Assurant Inc. 5.25% Subordinated Notes due 2061,AIZN
Arthur J. Gallagher & Co. Common Stock,AJG
Aerojet Rocketdyne Holdings Inc. Common Stock,AJRD
Great Ajax Corp. Common Stock,AJX
Great Ajax Corp. 7.25% Convertible Senior Notes due 2024,AJXA
a.k.a. Brands Holding Corp. Common Stock,AKA
Akamai Technologies Inc. Common Stock,AKAM
Akebia Therapeutics Inc. Common Stock,AKBA
Sports Ventures Acquisition Corp. Class A Ordinary Shares,AKIC
Sports Ventures Acquisition Corp. Unit,AKICU
Sports Ventures Acquisition Corp. Warrant,AKICW
Embotelladora Andina S.A.,AKO/A
Embotelladora Andina S.A.,AKO/B
Acadia Realty Trust Common Stock,AKR
Akero Therapeutics Inc. Common Stock,AKRO
Akoustis Technologies Inc. Common Stock,AKTS
Akari Therapeutics plc ADS,AKTX
Akumin Inc. Common Shares,AKU
Akouos Inc. Common Stock,AKUS
Akoya BioSciences Inc. Common Stock,AKYA
Air Lease Corporation Class A Common Stock,AL
Air Lease Corporation 6.150% Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series A,AL^A
Alberton Acquisition Corporation Ordinary Shares,ALAC
Alberton Acquisition Corporation Rights exp April 26 2021,ALACR
Alberton Acquisition Corporation Warrant,ALACW
Albemarle Corporation Common Stock,ALB
Albireo Pharma Inc. Common Stock,ALBO
Alcon Inc. Ordinary Shares,ALC
AltC Acquisition Corp. Class A Common Stock,ALCC
Alico Inc. Common Stock,ALCO
Aldeyra Therapeutics Inc. Common Stock,ALDX
Allete Inc.,ALE
Alector Inc. Common Stock,ALEC
Alexander & Baldwin Inc. Common Stock REIT Holding Company,ALEX
ALFI Inc. Common Stock,ALF
ALFI Inc. Warrant,ALFIW
Alamo Group Inc. Common Stock,ALG
Allegro MicroSystems Inc. Common Stock,ALGM
Align Technology Inc. Common Stock,ALGN
Aligos Therapeutics Inc. Common Stock,ALGS
Allegiant Travel Company Common Stock,ALGT
Alignment Healthcare Inc. Common Stock,ALHC
Alimera Sciences Inc. Common Stock,ALIM
Altera Infrastructure L.P. 7.25% Series A ,ALIN^A
Altera Infrastructure L.P. 8.50% Series B ,ALIN^B
Altera Infrastructure L.P. 8.875% Series E ,ALIN^E
Alight Inc. Class A Common Stock,ALIT
ALJ Regional Holdings Inc. Common Stock,ALJJ
Alaska Air Group Inc. Common Stock,ALK
Alkermes plc Ordinary Shares,ALKS
Alkami Technology Inc. Common Stock,ALKT
Allstate Corporation (The) Common Stock,ALL
Allstate Corporation (The) 5.100% Fixed-to-Floating Rate Subordinated Debentures due 2053,ALL^B
Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series G,ALL^G
Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series H,ALL^H
Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series I,ALL^I
Allegion plc Ordinary Shares,ALLE
Allakos Inc. Common Stock,ALLK
Allogene Therapeutics Inc. Common Stock,ALLO
Allarity Therapeutics Inc. Common Stock,ALLR
Allot Ltd. Ordinary Shares,ALLT
Ally Financial Inc. Common Stock,ALLY
Allena Pharmaceuticals Inc. Common Stock,ALNA
Alnylam Pharmaceuticals Inc. Common Stock,ALNY
ALSP Orchid Acquisition Corporation I Unit,ALORU
AstroNova Inc. Common Stock,ALOT
Alabama Power Company 5.00% Class A Preferred Stock Cumulative Par Value $1 Per Share (Stated Capital $25 Per Share),ALP^Q
Alpha Healthcare Acquisition Corp. III Class A Common Stock,ALPA
Alpha Healthcare Acquisition Corp. III Units,ALPAU
Alpha Healthcare Acquisition Corp. III Warrant,ALPAW
Alpine Immune Sciences Inc. Common Stock,ALPN
Alpine 4 Holdings Inc. Class A Common Stock,ALPP
Alarm.com Holdings Inc. Common Stock,ALRM
Aileron Therapeutics Inc. Common Stock,ALRN
Alerus Financial Corporation Common Stock,ALRS
Alpha Star Acquisition Corporation Units,ALSAU
Allison Transmission Holdings Inc. Common Stock,ALSN
Altimmune Inc. Common Stock,ALT
Alta Equipment Group Inc. Class A Common Stock,ALTG
Altus Midstream Company Class A Common Stock,ALTM
Alto Ingredients Inc. Common Stock,ALTO
Altair Engineering Inc. Class A Common Stock,ALTR
Altitude Acquisition Corp. Class A Common Stock,ALTU
Altitude Acquisition Corp. Warrant,ALTUW
Autoliv Inc. Common Stock,ALV
AlloVir Inc. Common Stock,ALVR
Alexander's Inc. Common Stock,ALX
ALX Oncology Holdings Inc. Common Stock,ALXO
Alithya Group inc. Class A Subordinate Voting Shares,ALYA
Alzamend Neuro Inc. Common Stock,ALZN
Antero Midstream Corporation Common Stock,AM
Amalgamated Financial Corp. Common Stock (DE),AMAL
Ambrx Biopharma Inc. American Depositary Shares (each representing seven Ordinary Shares),AMAM
American Acquisition Opportunity Inc. Class A Common Stock,AMAO
American Acquisition Opportunity Inc. Units,AMAOU
Applied Materials Inc. Common Stock,AMAT
Ambarella Inc. Ordinary Shares,AMBA
Ambac Financial Group Inc. Common Stock,AMBC
Ambow Education Holding Ltd. American Depository Shares each representing two Class A ordinary shares,AMBO
Ardagh Metal Packaging S.A. Ordinary Shares,AMBP
AMC Entertainment Holdings Inc. Class A Common Stock,AMC
AMCI Acquisition Corp. II Class A Common Stock,AMCI
AMCI Acquisition Corp. II Units,AMCIU
Amcor plc Ordinary Shares,AMCR
AMC Networks Inc. Class A Common Stock,AMCX
Advanced Micro Devices Inc. Common Stock,AMD
AMETEK Inc.,AME
Amedisys Inc Common Stock,AMED
Apollo Medical Holdings Inc. Common Stock,AMEH
Affiliated Managers Group Inc. Common Stock,AMG
Amgen Inc. Common Stock,AMGN
American Homes 4 Rent Common Shares of Beneficial Interest,AMH
American Homes 4 Rent 5.875% Series F Cumulative Redeemable Perpetual Preferred Shares,AMH^F
American Homes 4 Rent Series G cumulative redeemable perpetual preferred shares of beneficial interest,AMH^G
American Homes 4 Rent Series H cumulative redeemable perpetual Preferred Shares of Beneficial Interest,AMH^H
AssetMark Financial Holdings Inc. Common Stock,AMK
Amkor Technology Inc. Common Stock,AMKR
AMN Healthcare Services Inc AMN Healthcare Services Inc,AMN
American National Bankshares Inc. Common Stock,AMNB
Allied Motion Technologies Inc.,AMOT
America Movil S.A.B. de C.V. Class A American Depositary Shares,AMOV
Ameriprise Financial Inc. Common Stock,AMP
Ampio Pharmaceuticals Inc.,AMPE
Amplitech Group Inc. Common Stock,AMPG
Amplitech Group Inc. Warrants,AMPGW
Amphastar Pharmaceuticals Inc. Common Stock,AMPH
Amplitude Inc. Class A Common Stock,AMPL
Altus Power Inc. Class A Common Stock,AMPS
Amplify Energy Corp. Common Stock,AMPY
Alpha Metallurgical Resources Inc. Common Stock,AMR
Ameresco Inc. Class A Common Stock,AMRC
A-Mark Precious Metals Inc. Common Stock,AMRK
Amarin Corporation plc,AMRN
Amyris Inc. Common Stock,AMRS
Amneal Pharmaceuticals Inc. Class A Common Stock,AMRX
American Shared Hospital Services Common Stock,AMS
American Superconductor Corporation Common Stock,AMSC
AMERISAFE Inc. Common Stock,AMSF
Amesite Inc. Common Stock,AMST
American Software Inc. Class A Common Stock,AMSWA
American Tower Corporation (REIT) Common Stock,AMT
Amerant Bancorp Inc. Class A Common Stock,AMTB
Applied Molecular Transport Inc. Common Stock,AMTI
Aemetis Inc. (DE) Common Stock,AMTX
American Woodmark Corporation Common Stock,AMWD
American Well Corporation Class A Common Stock,AMWL
America Movil S.A.B. de C.V. American Depository Receipt Series L,AMX
Amryt Pharma plc American Depositary Shares,AMYT
Amazon.com Inc. Common Stock,AMZN
AutoNation Inc. Common Stock,AN
AnaptysBio Inc. Common Stock,ANAB
Arctos NorthStar Acquisition Corp. Class A Ordinary Shares,ANAC
American National Group Inc. Common Stock,ANAT
Andersons Inc. (The) Common Stock,ANDE
Anebulo Pharmaceuticals Inc. Common Stock,ANEB
Arista Networks Inc. Common Stock,ANET
Abercrombie & Fitch Company Common Stock,ANF
Angi Inc. Class A Common Stock,ANGI
Angion Biomedica Corp. Common Stock,ANGN
AngioDynamics Inc. Common Stock,ANGO
Anika Therapeutics Inc. Common Stock,ANIK
ANI Pharmaceuticals Inc.,ANIP
Anixa Biosciences Inc. Common Stock,ANIX
Annexon Inc. Common Stock,ANNX
AnPac Bio-Medical Science Co. Ltd. American Depositary Shares,ANPC
ANSYS Inc. Common Stock,ANSS
AirNet Technology Inc. American Depositary Shares,ANTE
Anthem Inc. Common Stock,ANTM
Annovis Bio Inc. Common Stock,ANVS
Sphere 3D Corp. Common Shares,ANY
Anzu Special Acquisition Corp I Units,ANZUU
Anzu Special Acquisition Corp I Warrant,ANZUW
Aberdeen Total Dynamic Dividend Fund Common Stock,AOD
Angel Oak Mortgage Inc. Common Stock,AOMR
Aon plc Class A Ordinary Shares (Ireland),AON
A.O. Smith Corporation Common Stock,AOS
Alpha and Omega Semiconductor Limited Common Shares,AOSL
American Outdoor Brands Inc. Common Stock ,AOUT
Ampco-Pittsburgh Corporation Common Stock,AP
APA Corporation Common Stock,APA
StoneBridge Acquisition Corporation Unit,APACU
StoneBridge Acquisition Corporation Warrant,APACW
Artisan Partners Asset Management Inc. Class A Common Stock,APAM
Apptech Payments Corp.,APCX
Air Products and Chemicals Inc. Common Stock,APD
Applied DNA Sciences Inc. Common Stock,APDN
American Public Education Inc. Common Stock,APEI
Apollo Endosurgery Inc. Common Stock,APEN
APi Group Corporation Common Stock,APG
Apollo Strategic Growth Capital II Class A Ordinary Shares,APGB
Amphenol Corporation Common Stock,APH
Agora Inc. American Depositary Shares,API
Apple Hospitality REIT Inc. Common Shares,APLE
Apellis Pharmaceuticals Inc. Common Stock,APLS
Applied Therapeutics Inc. Common Stock,APLT
Aptorum Group Limited Class A Ordinary Shares,APM
AxonPrime Infrastructure Acquisition Corporation Unit,APMIU
Apollo Global Management Inc. Class A Common Stock,APO
Apollo Global Management Inc. 6.375% Series A Preferred Shares,APO^A
Apollo Global Management Inc 6.375% Series B Preferred Shares,APO^B
Apogee Enterprises Inc. Common Stock,APOG
Applovin Corporation Class A Common Stock,APP
AppFolio Inc. Class A Common Stock,APPF
AppHarvest Inc. Common Stock,APPH
AppHarvest Inc. Warrants,APPHW
Appian Corporation Class A Common Stock,APPN
Digital Turbine Inc. Common Stock,APPS
Apria Inc. Common Stock,APR
Aprea Therapeutics Inc. Common stock,APRE
Blue Apron Holdings Inc. Class A Common Stock,APRN
Apollo Strategic Growth Capital Class A Ordinary Shares,APSG
Alpha Pro Tech Ltd. Common Stock,APT
Alpha Partners Technology Merger Corp. Class A Ordinary Shares,APTM
Alpha Partners Technology Merger Corp. Unit,APTMU
Aptose Biosciences Inc. Common Shares,APTO
Preferred Apartment Communities Inc. Common Stock,APTS
Aptiv PLC Ordinary Shares,APTV
Aptiv PLC 5.50% Series A Mandatory Convertible Preferred Shares,APTV^A
Aptinyx Inc. Common Stock,APTX
Aptevo Therapeutics Inc. Common Stock,APVO
Asia Pacific Wire & Cable Corporation Ltd. Ordinary Shares (Bermuda),APWC
APx Acquisition Corp. I Unit,APXIU
Apyx Medical Corporation Common Stock,APYX
AquaBounty Technologies Inc. Common Stock,AQB
Aqua Metals Inc. Common Stock,AQMS
